Group,Variable,Scale,Cropland,Shrubland,Grassland,Woodland
Shannon,Fungal S,glob,NA,0.058 [0.02; 0.093] *,-0.022 [-0.057; 0.012] ns,-0.034 [-0.065; -0.002] *
Shannon,Fungal S,cont,-0.033 [-0.091; 0.028] ns,NA,-0.012 [-0.07; 0.043] ns,-0.014 [-0.063; 0.036] ns
Shannon,Fungal S,regi,0.012 [-0.037; 0.064] ns,NA,0 [-0.045; 0.042] ns,0.008 [-0.021; 0.036] ns
Shannon,Invertebrate S,glob,NA,0.028 [-0.017; 0.072] ns,-0.04 [-0.082; 0.003] ns,-0.038 [-0.076; 0] ns
Shannon,Invertebrate S,cont,-0.018 [-0.089; 0.05] ns,NA,0.018 [-0.047; 0.083] ns,0.034 [-0.025; 0.089] ns
Shannon,Invertebrate S,regi,-0.044 [-0.129; 0.044] ns,NA,0.006 [-0.067; 0.08] ns,0.014 [-0.035; 0.062] ns
Shannon,Protist S,glob,NA,0.008 [-0.037; 0.053] ns,-0.018 [-0.061; 0.026] ns,-0.044 [-0.083; -0.005] *
Shannon,Protist S,cont,-0.006 [-0.069; 0.053] ns,NA,-0.03 [-0.087; 0.026] ns,0.055 [0.005; 0.104] *
Shannon,Protist S,regi,-0.021 [-0.136; 0.095] ns,NA,0.005 [-0.096; 0.102] ns,0.028 [-0.037; 0.092] ns
Dissimilarity,Bacterial D,glob,NA,-0.001 [-0.002; 0] ns,0.001 [0; 0.002] ns,0.002 [0.001; 0.004] *
Dissimilarity,Bacterial D,cont,0 [-0.001; 0.002] ns,NA,0 [-0.001; 0.002] ns,-0.003 [-0.004; -0.001] *
Dissimilarity,Bacterial D,regi,0.002 [-0.002; 0.006] ns,NA,0 [-0.003; 0.003] ns,-0.002 [-0.004; 0] ns
Dissimilarity,Fungal D,glob,NA,-0.001 [-0.002; 0] ns,0.002 [0; 0.003] *,0.002 [0.001; 0.003] *
Dissimilarity,Fungal D,cont,-0.001 [-0.002; 0] ns,NA,0.001 [0; 0.001] ns,-0.001 [-0.002; 0] *
Dissimilarity,Fungal D,regi,-0.003 [-0.006; -0.001] *,NA,0.001 [-0.001; 0.003] ns,0 [-0.002; 0.001] ns
Dissimilarity,Invertebrate D,glob,NA,-0.001 [-0.002; 0] ns,0 [-0.001; 0.001] ns,0.001 [0; 0.002] *
Dissimilarity,Invertebrate D,cont,0 [-0.001; 0] ns,NA,0 [-0.001; 0] ns,0 [0; 0] ns
Dissimilarity,Invertebrate D,regi,0.003 [0; 0.006] ns,NA,0 [-0.003; 0.002] ns,-0.001 [-0.003; 0.001] ns
Dissimilarity,Protist D,glob,NA,0 [-0.001; 0.001] ns,0.001 [0; 0.002] ns,0.002 [0.001; 0.003] *
Dissimilarity,Protist D,cont,0 [-0.001; 0.001] ns,NA,0 [0; 0.001] ns,0 [-0.001; 0] ns
Dissimilarity,Protist D,regi,0 [-0.004; 0.003] ns,NA,0.001 [-0.002; 0.003] ns,0 [-0.001; 0.002] ns
